track_artist,career_length,mean_popularity,peak_popularity,min_popularity,mean_yearly_change,mean_variability,mean_energy,mean_danceability,mean_valence,decline_rate,cluster
$uicideBoy$,3,59.33766666666667,62.7273,57.0,-2.86365,3.0728794882390797,0.7022,0.7908,0.26476666666666665,0.0,2
*NSYNC,2,62.5,71.0,54.0,17.0,12.020815280171307,0.928,0.6839999999999999,0.857,0.5,2
11 Acorn Lane,3,35.0,43.0,22.0,9.0,13.103529548259022,0.9056666666666667,0.769,0.7886666666666665,0.0,1
112,3,52.166666666666664,60.0,46.0,-4.75,8.52337774203776,0.6161666666666666,0.7171666666666666,0.7759,0.3333333333333333,2
2 Chainz,4,55.0,59.0,49.0,3.3333333333333335,5.189464127950132,0.655375,0.7418750000000001,0.4149,0.0,2
21 Savage,3,68.5,75.0,56.5,0.5,11.389347347053494,0.4719333333333333,0.8323666666666667,0.2105,0.3333333333333333,2
2Pac,10,36.9273,70.0,1.0,-1.0555555555555565,23.19898653604399,0.69091,0.80748,0.61931,0.5,3
3 Doors Down,3,46.666666666666664,72.0,11.0,-23.0,21.19617137788759,0.7098333333333334,0.5227666666666667,0.35706666666666664,0.3333333333333333,3
3LAU,5,43.7,54.5,29.0,6.375,13.03584423541465,0.8112,0.5202,0.27824,0.2,3
5 Seconds of Summer,2,67.41665,69.0,65.8333,-3.166700000000006,2.239195043983449,0.8604,0.542,0.44125000000000003,0.0,2
50 Cent,6,26.59606666666667,59.0,1.0,0.2625,24.318672315040843,0.7265666666666667,0.6926666666666667,0.5779333333333333,0.5,3
6LACK,2,45.975,67.75,24.2,-43.55,30.794500320674143,0.5353,0.62765,0.2059,0.5,3
6cyclemind,2,54.5,57.0,52.0,5.0,3.5355339059327378,0.7945,0.431,0.652,0.0,2
8Ball,3,35.333333333333336,47.0,26.0,10.5,7.821212044934729,0.6531666666666667,0.8103333333333333,0.6366,0.3333333333333333,1
8Ball & MJG,2,41.0,50.0,32.0,18.0,12.727922061357855,0.78535,0.772,0.55815,0.5,1
A Boogie Wit da Hoodie,2,62.65,66.8,58.5,8.299999999999997,5.868986283848343,0.71025,0.718,0.605,0.0,2
A Flock Of Seagulls,2,35.0,57.0,13.0,-44.0,31.11269837220809,0.7669999999999999,0.548,0.6465,0.5,3
A R I Z O N A,3,51.333333333333336,57.5,45.5,6.0,4.948013863419688,0.5865666666666667,0.7146666666666667,0.4487666666666667,0.3333333333333333,2
A$AP Ferg,3,66.16666666666667,77.0,50.5,3.0,14.195565956193681,0.7573333333333333,0.755,0.33816666666666667,0.6666666666666666,2
A$AP Rocky,3,47.38886666666667,75.0,7.3333,33.83335,36.31573218291631,0.6970999999999999,0.7021333333333333,0.42826666666666663,0.0,0
ARMNHMR,2,48.0,48.0,48.0,0.0,0.0,0.79,0.4485,0.23099999999999998,0.5,2
ARTY,2,32.1,40.2,24.0,16.200000000000003,11.455129855222072,0.8318,0.54355,0.33494999999999997,0.0,1
Aaliyah,4,38.31945,59.0,4.5,-10.759266666666667,19.031414187454118,0.5899749999999999,0.702825,0.693175,0.25,3
Aaron Hall,5,28.66666,37.3333,17.0,-3.5000000000000004,7.365838155747686,0.68614,0.7647999999999999,0.5404,0.4,1
Abdi,2,31.0,41.0,21.0,20.0,14.142135623730953,0.726,0.8145,0.3755,0.5,1
