track_artist,release_year,mean_popularity,median_popularity,max_popularity,track_count,mean_danceability,mean_energy,mean_valence,mean_tempo,mean_acousticness,mean_speechiness,yearly_change,variability,career_age,peak_popularity,gap_from_peak,years_since_peak,career_slope,release_consistency,next_popularity,declined,trajectory
$uicideBoy$,2015,62.7273,63.0,77,11,0.753,0.5929,0.1967,114.1974,0.1842,0.1191,,,1,62.7273,0.0,0,-1.2424333333333333,0,58.2857,0,stable
$uicideBoy$,2016,58.2857,64.0,68,7,0.8336,0.7509,0.2984,116.992,0.1761,0.1046,-4.441600000000001,3.1406854793181727,2,62.7273,-4.441600000000001,1,-1.2424333333333333,1,57.0,0,stable
$uicideBoy$,2017,57.0,61.0,73,5,0.7858,0.7628,0.2992,127.0032,0.0569,0.1833,-1.2856999999999985,3.005073497159987,3,62.7273,-5.7273,2,-1.2424333333333333,1,59.0,0,stable
*NSYNC,1997,54.0,54.0,54,1,0.758,0.93,0.853,112.042,0.0503,0.0425,,,1,71.0,-17.0,-3,-5.5,0,71.0,0,growing
*NSYNC,2000,71.0,71.0,71,1,0.61,0.926,0.861,172.638,0.031,0.0479,17.0,12.020815280171307,4,71.0,0.0,0,-5.5,0,43.0,1,declining
11 Acorn Lane,2014,22.0,22.0,22,1,0.842,0.871,0.949,119.97,0.0587,0.0441,,,1,43.0,-21.0,-2,4.666666666666667,0,43.0,0,growing
11 Acorn Lane,2016,43.0,43.0,43,1,0.793,0.868,0.85,124.985,0.0304,0.173,21.0,14.849242404917497,3,43.0,0.0,0,4.666666666666667,0,40.0,0,stable
11 Acorn Lane,2018,40.0,40.0,40,1,0.672,0.978,0.567,126.022,0.138,0.106,-3.0,11.357816691600547,5,43.0,-3.0,2,4.666666666666667,0,36.0,0,stable
112,1996,60.0,60.0,60,1,0.764,0.525,0.787,95.813,0.0296,0.048,,,1,60.0,0.0,0,-1.0,0,46.0,1,declining
112,1998,46.0,44.0,53,3,0.67,0.606,0.7637,103.9463,0.1047,0.1603,-14.0,9.899494936611665,3,60.0,-14.0,2,-1.0,0,50.5,0,stable
112,2001,50.5,50.5,66,2,0.7175,0.7175,0.777,176.33,0.0144,0.222,4.5,7.147260547463855,6,60.0,-9.5,5,-1.0,0,57.0,0,stable
2 Chainz,2012,49.0,49.0,59,2,0.785,0.6835,0.6575,114.316,0.0322,0.1188,,,1,63.0,-14.0,-8,3.5,0,59.0,0,growing
2 Chainz,2013,59.0,59.0,59,1,0.554,0.899,0.552,171.966,0.0521,0.408,10.0,7.0710678118654755,2,63.0,-4.0,-7,3.5,1,53.0,0,stable
2 Chainz,2017,53.0,51.5,74,4,0.8355,0.64,0.4122,115.7627,0.3517,0.2665,-6.0,5.033222956847166,6,63.0,-10.0,-3,3.5,0,59.0,0,stable
2 Chainz,2019,59.0,59.0,59,1,0.793,0.399,0.0379,121.949,0.12,0.0951,6.0,3.4641016151377557,8,63.0,-4.0,-1,3.5,0,63.0,0,stable
21 Savage,2016,74.0,74.0,74,1,0.835,0.413,0.111,149.004,0.373,0.396,,,1,83.0,-9.0,-3,3.0,0,56.5,1,declining
21 Savage,2017,56.5,70.0,80,4,0.8488,0.3818,0.2858,94.0188,0.0916,0.2915,-17.5,12.374368670764582,2,83.0,-26.5,-2,3.0,1,75.0,0,growing
21 Savage,2018,75.0,72.0,81,3,0.8133,0.621,0.2347,136.6947,0.1228,0.0841,18.5,10.404326023342406,3,83.0,-8.0,-1,3.0,1,83.0,0,stable
2Pac,1991,46.0,46.0,46,1,0.893,0.721,0.801,94.58,0.32,0.305,,,1,70.0,-24.0,-6,-1.5000000000000007,0,26.0,1,declining
2Pac,1993,26.0,8.0,69,3,0.7753,0.5233,0.6193,92.816,0.1547,0.2163,-20.0,14.142135623730951,3,70.0,-44.0,-4,-1.5000000000000007,0,6.0,1,declining
2Pac,1995,6.0,6.0,6,1,0.775,0.535,0.315,84.122,0.349,0.113,-20.0,20.0,5,70.0,-64.0,-2,-1.5000000000000007,0,63.0769,0,growing
2Pac,1996,63.0769,62.0,77,13,0.7898,0.8147,0.71,98.2788,0.03,0.1804,57.0769,28.961091793473532,6,70.0,-6.923099999999998,-1,-1.5000000000000007,1,70.0,0,stable
2Pac,1997,70.0,70.0,70,1,0.874,0.63,0.717,95.0,0.0578,0.298,6.923099999999998,35.122883867976064,7,70.0,0.0,0,-1.5000000000000007,1,30.5294,1,declining
2Pac,1998,30.5294,40.0,65,17,0.7949,0.7864,0.6145,109.3522,0.0849,0.1873,-39.470600000000005,21.076042221046464,8,70.0,-39.470600000000005,1,-1.5000000000000007,1,1.0,1,declining
2Pac,2001,1.0,1.0,1,1,0.868,0.718,0.598,83.015,0.0162,0.288,-29.5294,34.619151079327935,11,70.0,-69.0,4,-1.5000000000000007,0,37.6667,0,growing
2Pac,2003,37.6667,42.0,45,3,0.7393,0.7727,0.6463,113.341,0.0633,0.2953,36.6667,19.439536193626957,13,70.0,-32.3333,6,-1.5000000000000007,0,52.5,0,growing
2Pac,2004,52.5,52.5,68,2,0.778,0.627,0.6055,77.963,0.1682,0.1834,14.833300000000001,26.51013541327164,14,70.0,-17.5,7,-1.5000000000000007,1,36.5,1,declining
2Pac,2007,36.5,36.5,72,2,0.7875,0.781,0.5665,154.8075,0.0398,0.2,-16.0,8.919902631942376,17,70.0,-33.5,10,-1.5000000000000007,0,31.0,0,stable
3 Doors Down,2000,57.0,56.0,77,3,0.5013,0.898,0.4777,129.963,0.0066,0.0574,,,1,72.0,-15.0,-2,-13.666666666666666,0,72.0,0,growing
3 Doors Down,2002,72.0,72.0,75,2,0.516,0.6575,0.2855,109.045,0.0291,0.0289,15.0,10.606601717798213,3,72.0,0.0,0,-13.666666666666666,0,11.0,1,declining
3 Doors Down,2005,11.0,11.0,11,1,0.551,0.574,0.308,143.734,0.0203,0.0263,-61.0,31.785741037976972,6,72.0,-61.0,3,-13.666666666666666,0,16.0,0,stable
3LAU,2013,29.0,29.0,29,1,0.375,0.701,0.0927,127.953,0.0002,0.0457,,,1,63.0,-34.0,-6,6.8,0,52.0,0,growing
3LAU,2014,52.0,52.0,52,1,0.496,0.789,0.286,127.961,0.183,0.0839,23.0,16.263455967290593,2,63.0,-11.0,-5,6.8,1,32.0,1,declining
3LAU,2015,32.0,32.0,32,1,0.532,0.947,0.39,127.944,0.119,0.228,-20.0,12.503332889007368,3,63.0,-31.0,-4,6.8,1,51.0,0,growing
3LAU,2016,51.0,51.0,51,1,0.643,0.742,0.294,125.001,0.0671,0.0412,19.0,11.269427669584644,4,63.0,-12.0,-3,6.8,1,54.5,0,stable
3LAU,2018,54.5,54.5,58,2,0.555,0.877,0.3285,102.5485,0.0083,0.0477,3.5,12.107160415776,6,63.0,-8.5,-1,6.8,0,63.0,0,stable
5 Seconds of Summer,2014,69.0,69.0,69,2,0.494,0.951,0.441,160.025,0.0006,0.132,,,1,77.25,-8.25,-5,4.125,0,65.8333,0,stable
5 Seconds of Summer,2018,65.8333,71.5,84,6,0.59,0.7698,0.4415,122.4103,0.0602,0.1899,-3.166700000000006,2.239195043983449,5,77.25,-11.416700000000006,-1,4.125,0,77.25,0,growing
50 Cent,2003,57.6875,62.5,77,16,0.7158,0.7563,0.6975,95.7399,0.1769,0.3254,,,1,59.0,-1.3125,-13,-9.447916666666666,0,10.8889,1,declining
50 Cent,2005,10.8889,2.0,75,9,0.6627,0.6561,0.5501,106.5387,0.0849,0.3393,-46.7986,33.091607410036765,3,59.0,-48.1111,-11,-9.447916666666666,0,30.0,0,growing
50 Cent,2006,30.0,30.0,30,1,0.74,0.614,0.813,93.449,0.543,0.315,19.1111,23.52991274038219,4,59.0,-29.0,-10,-9.447916666666666,1,1.0,1,declining
50 Cent,2007,1.0,1.0,1,2,0.5955,0.824,0.591,105.3385,0.135,0.3085,-29.0,14.742368005287807,5,59.0,-58.0,-9,-9.447916666666666,1,1.0,0,stable
50 Cent,2009,1.0,1.0,1,1,0.604,0.9,0.422,190.029,0.0183,0.0927,0.0,16.743157806499156,7,59.0,-58.0,-7,-9.447916666666666,0,59.0,0,growing
50 Cent,2016,59.0,59.0,59,1,0.838,0.609,0.394,120.073,0.341,0.219,58.0,33.4863156129983,14,59.0,0.0,0,-9.447916666666666,0,1.0,1,declining
6LACK,2016,67.75,66.5,74,4,0.5925,0.5212,0.1754,133.1445,0.1923,0.1699,,,1,67.75,0.0,0,-5.0,0,24.2,1,declining
6LACK,2017,24.2,25.0,27,5,0.6628,0.5494,0.2364,123.8608,0.2602,0.2166,-43.55,30.794500320674146,2,67.75,-43.55,1,-5.0,1,57.75,0,growing
6cyclemind,2003,52.0,52.0,52,1,0.378,0.749,0.521,160.61,0.174,0.0458,,,1,58.0,-6.0,-4,3.0,0,57.0,0,stable
6cyclemind,2005,57.0,57.0,57,1,0.484,0.84,0.783,139.952,0.104,0.0315,5.0,3.5355339059327378,3,58.0,-1.0,-2,3.0,0,58.0,0,stable
8Ball,1998,26.0,25.0,35,3,0.741,0.473,0.5613,117.947,0.0785,0.36,,,1,47.0,-21.0,-5,1.3333333333333333,0,33.0,0,stable
8Ball,1999,33.0,33.0,38,2,0.939,0.6245,0.4425,111.2745,0.0338,0.235,7.0,4.949747468305833,2,47.0,-14.0,-4,1.3333333333333333,1,47.0,0,growing
8Ball,2003,47.0,47.0,47,1,0.751,0.862,0.906,80.005,0.195,0.112,14.0,10.692676621563626,6,47.0,0.0,0,1.3333333333333333,0,30.0,1,declining
8Ball & MJG,1995,32.0,26.0,45,3,0.767,0.6997,0.4923,133.6677,0.0829,0.0915,,,1,50.0,-18.0,-10,1.9166500000000006,0,50.0,0,growing
8Ball & MJG,2005,50.0,50.0,50,1,0.777,0.871,0.624,140.098,0.01,0.236,18.0,12.727922061357855,11,50.0,0.0,0,1.9166500000000006,0,35.8333,1,declining
A Boogie Wit da Hoodie,2017,58.5,58.5,78,2,0.801,0.7855,0.756,149.4485,0.3715,0.1609,,,1,71.3333,-12.833299999999994,-2,6.416649999999997,0,66.8,0,stable
A Boogie Wit da Hoodie,2018,66.8,66.0,85,5,0.635,0.635,0.454,108.7072,0.172,0.2333,8.299999999999997,5.868986283848343,2,71.3333,-4.533299999999997,-1,6.416649999999997,1,71.3333,0,stable
A Flock Of Seagulls,2002,57.0,57.0,57,1,0.537,0.815,0.691,145.424,0.0004,0.0348,,,1,57.0,0.0,0,-10.5,0,13.0,1,declining
A Flock Of Seagulls,2006,13.0,13.0,13,1,0.559,0.719,0.602,146.992,0.0169,0.0347,-44.0,31.11269837220809,5,57.0,-44.0,4,-10.5,0,36.0,0,growing
A R I Z O N A,2016,45.5,45.5,51,2,0.746,0.543,0.634,109.006,0.2115,0.0794,,,1,57.5,-12.0,-3,-1.8333333333333333,0,51.0,0,stable
A R I Z O N A,2017,51.0,51.0,54,2,0.7105,0.7055,0.4325,116.01,0.2044,0.0757,5.5,3.8890872965260113,2,57.5,-6.5,-2,-1.8333333333333333,1,57.5,0,stable
A R I Z O N A,2019,57.5,61.0,72,4,0.6875,0.5112,0.2798,97.2227,0.3595,0.0716,6.5,6.0069404303133656,4,57.5,0.0,0,-1.8333333333333333,0,40.0,1,declining
A$AP Ferg,2013,71.0,71.0,71,1,0.841,0.733,0.284,130.009,0.0246,0.142,,,1,77.0,-6.0,-4,-12.666666666666666,0,50.5,1,declining
